laneInd;pointInd;x;y;z;isStopLine;arrayJunctionId;arrayTrafficLight;arrayTrafficSign
1;0;122.633829278131;-139.202021414925;0;0;-1;-1;-1
1;1;124.541282214263;-138.813660887976;0;0;-1;-1;-1
1;2;126.612861114054;-138.320233620709;0;0;-1;-1;-1
1;3;129.877280891164;-137.406406980528;0;0;-1;-1;-1
1;4;133.593843225597;-135.753816265641;0;0;-1;-1;-1
1;5;139.734298552736;-132.507428490012;0;0;-1;-1;-1
1;6;147.499182475503;-127.890371948345;0;0;-1;-1;-1
1;7;154.140788794843;-123.824865533427;0;0;-1;-1;-1
1;8;160.890110694201;-119.693136992469;0;0;-1;-1;-1
1;9;168.025636756824;-115.388760996779;0;0;-1;-1;-1
1;10;174.421609482262;-111.665376200881;0;0;-1;-1;-1
1;11;179.706219838438;-108.714222995676;0;0;-1;-1;-1
1;12;185.95827625014;-105.271198282657;0;0;-1;-1;-1
1;13;192.869747085402;-101.548015138518;0;0;-1;-1;-1
1;14;199.161359793611;-98.2516275117565;0;0;-1;-1;-1
1;15;205.7194555934;-94.8394182286384;0;0;-1;-1;-1
1;16;212.966857996826;-91.0718552487607;0;0;-1;-1;-1
1;17;218.756897710733;-88.0867287461232;0;0;-1;-1;-1
1;18;225.313140822896;-84.719015556266;0;0;-1;-1;-1
1;19;231.873842730922;-81.3590006612313;0;0;-1;-1;-1
1;20;238.470279351995;-77.9742213795922;0;0;-1;-1;-1
1;21;245.892507260538;-74.1578037680348;0;0;-1;-1;-1
1;22;252.961525633601;-70.5247473053622;0;0;-1;-1;-1
1;23;259.231059204088;-67.307863486015;0;0;-1;-1;-1
1;24;265.923201813286;-63.8760245077183;0;0;-1;-1;-1
1;25;270.182997080832;-61.6955360834237;0;0;-1;-1;-1
1;26;273.22643654022;-60.1391988317195;0;0;-1;-1;-1
1;27;285.199064404686;-54.0178426142443;0;0;-1;-1;-1
1;28;291.568910140382;-50.7414573089096;0;0;-1;-1;-1
1;29;297.698635921245;-47.5641461855325;0;0;-1;-1;-1
1;30;302.681628762993;-44.9628850536441;0;0;-1;-1;-1
1;31;304.221410401662;-44.1833119706998;0;0;-1;-1;-1
1;32;305.845614890258;-43.3606103975864;0;0;-1;-1;-1
1;33;310.120123908486;-41.1953885747251;0;0;-1;-1;-1
1;34;312.123194359462;-40.2148885596791;0;0;-1;-1;-1
1;35;318.731397706503;-36.9801682749144;0;0;-1;-1;-1
1;36;325.227533199219;-33.8308171980942;0;0;-1;-1;-1
1;37;331.531334256347;-30.7271099832436;0;0;-1;-1;-1
1;38;338.052263823322;-27.4003023600058;0;0;-1;-1;-1
1;39;345.546912607498;-23.4056501545632;0;0;-1;-1;-1
1;40;350.651335006183;-19.5368605234092;0;0;-1;-1;-1
1;41;354.938227810254;-15.4685641275715;0;0;-1;-1;-1
1;42;357.454224117582;-11.8680640264648;0;0;-1;-1;-1
1;43;361.57904737237;-5.62815133945926;0;0;-1;-1;-1
1;44;363.380423689087;0.533525749216088;0;0;-1;-1;-1
1;45;364.560802457737;7.5352673624647;0;0;-1;-1;-1
1;46;364.504420210113;14.6548016555823;0;0;-1;-1;-1
1;47;363.205840807013;21.776140104459;0;0;-1;-1;-1
1;48;360.596588314508;28.5376075898366;0;0;-1;-1;-1
1;49;356.827674081831;33.9555612138798;0;0;-1;-1;-1
1;50;352.504663583602;38.2441897618955;0;0;-1;-1;-1
1;51;347.023141969485;42.7302091613441;0;0;-1;-1;-1
1;52;340.794005024649;46.3154312912403;0;0;-1;-1;-1
1;53;333.744357217482;49.5594219855308;0;0;-1;-1;-1
1;54;329.685997665956;50.5786209906974;0;0;-1;-1;-1
1;55;320.512959729603;52.8587015959644;0;0;-1;-1;-1
1;56;313.478450018519;54.3341581844161;0;0;-1;-1;-1
1;57;306.562501926295;55.7563408522316;0;0;-1;-1;-1
1;58;299.577968474349;57.1996532961155;0;0;-1;-1;-1
1;59;292.680309785066;58.6513097557824;0;0;-1;-1;-1
1;60;285.643224913459;60.1509637874058;0;0;-1;-1;-1
1;61;278.511997817808;61.6678487849954;0;0;-1;-1;-1
1;62;271.079163516035;63.2177720673348;0;0;-1;-1;-1
1;63;263.969770592307;64.6259025505955;0;0;-1;-1;-1
1;64;256.453944731908;66.0155224148562;0;0;-1;-1;-1
1;65;248.479572075226;67.3049047899486;0;0;-1;-1;-1
1;66;241.688309812491;68.0025648851945;0;0;-1;-1;-1
1;67;234.768846672601;68.4468117413459;0;0;-1;-1;-1
1;68;228.098129211584;68.3959312607737;0;0;-1;-1;-1
1;69;221.193150778155;67.8020072619869;0;0;-1;-1;-1
1;70;213.904518902735;66.4618314919347;0;0;-1;-1;-1
1;71;207.720350073515;64.0445359336881;0;0;-1;-1;-1
1;72;202.408197675197;60.9230406458336;0;0;-1;-1;-1
1;73;195.978036778924;56.4327247864826;0;0;-1;-1;-1
1;74;190.550685510834;51.2911985929988;0;0;-1;-1;-1
1;75;185.635439579951;46.0293221671901;0;0;-1;-1;-1
1;76;180.812418573954;40.9579570401837;0;0;-1;-1;-1
1;77;176.511408728179;36.5885941207185;0;0;-1;-1;-1
1;78;171.532984530614;31.6307594519752;0;0;-1;-1;-1
1;79;166.220217076781;26.4851975471547;0;0;-1;-1;-1
1;80;160.665940828172;21.2536195269872;0;0;-1;-1;-1
1;81;155.030884383573;16.0834630387502;0;0;-1;-1;-1
1;82;149.12846903246;10.7872082903319;0;0;-1;-1;-1
1;83;143.708979503795;5.99274235084503;0;0;-1;-1;-1
1;84;138.386397781205;1.26694665179599;0;0;-1;-1;-1
1;85;133.30993756513;-3.28977885284227;0;0;-1;-1;-1
1;86;127.732261391503;-8.32350233135448;0;0;-1;-1;-1
1;87;122.123961196215;-13.3938037811022;0;0;-1;-1;-1
1;88;116.422355369137;-18.5478862947363;0;0;-1;-1;-1
1;89;111.332756234224;-23.1500353215709;0;0;-1;-1;-1
1;90;105.025910904325;-28.8559053184729;0;0;-1;-1;-1
1;91;101.022369951777;-32.4789059798546;0;0;-1;-1;-1
1;92;98.5018790668715;-34.7602169326004;0;0;-1;-1;-1
1;93;97.2876970193201;-35.8583222680954;0;0;-1;-1;-1
1;94;92.9850277037543;-39.7498345278503;0;0;-1;-1;-1
1;95;87.6985251967454;-44.5274329263267;0;0;-1;-1;-1
1;96;82.4402692519508;-49.2781162316116;0;1;0;-1;-1
0;26;286.4170057509;-49.2202469563;0;0;-1;-1;-1
0;27;288.663951268;-49.9055410297;0;0;-1;-1;-1
0;28;291.404545812;-50.0471664357;0;0;-1;-1;-1
