laneInd;pointInd;x;y;z;isStopLine;arrayJunctionId;arrayTrafficLight;arrayTrafficSign
1;0;122.699671521706;-138.807477629065;0;0;-1;-1;-1
1;1;124.551996036109;-138.917456240548;0;0;-1;-1;-1
1;2;126.756933901131;-138.693386447342;0;0;-1;-1;-1
1;3;130.013805592927;-137.649204936982;0;0;-1;-1;-1
1;4;133.542056768203;-135.665261423498;0;0;-1;-1;-1
1;5;139.529868395587;-132.163614134802;0;0;-1;-1;-1
1;6;147.301114848621;-127.542853293909;0;0;-1;-1;-1
1;7;153.978676030605;-123.553745910475;0;0;-1;-1;-1
1;8;160.79548156415;-119.532814912631;0;0;-1;-1;-1
1;9;167.995661103586;-115.335727148744;0;0;-1;-1;-1
1;10;174.40725900213;-111.640143189724;0;0;-1;-1;-1
1;11;179.702446796389;-108.707233556548;0;0;-1;-1;-1
1;12;185.954159268246;-105.263658054192;0;0;-1;-1;-1
1;13;192.872720867342;-101.553744274643;0;0;-1;-1;-1
1;14;199.160187226633;-98.2493319816188;0;0;-1;-1;-1
1;15;205.723030485136;-94.8462841202218;0;0;-1;-1;-1
1;16;212.981397425368;-91.0994637099381;0;0;-1;-1;-1
1;17;218.768710585454;-88.1099555157032;0;0;-1;-1;-1
1;18;225.317397274111;-84.727250648941;0;0;-1;-1;-1
1;19;231.869238464673;-81.350003671543;0;0;-1;-1;-1
1;20;238.467838088803;-77.9694700217592;0;0;-1;-1;-1
1;21;245.899091113198;-74.1707237315098;0;0;-1;-1;-1
1;22;252.971441755679;-70.5439904590383;0;0;-1;-1;-1
1;23;259.23075876379;-67.307277733539;0;0;-1;-1;-1
1;24;265.915707735239;-63.861571339154;0;0;-1;-1;-1
1;25;270.177123390156;-61.6846717188511;0;0;-1;-1;-1
1;26;273.222260662747;-60.1308788294542;0;0;-1;-1;-1
1;27;285.199717464851;-54.0191242907347;0;0;-1;-1;-1
1;28;291.572318604281;-50.7480003326248;0;0;-1;-1;-1
1;29;297.713164387925;-47.5924626161175;0;0;-1;-1;-1
1;30;302.710820528792;-45.018534363589;0;0;-1;-1;-1
1;31;304.244192719812;-44.2267427207627;0;0;-1;-1;-1
1;32;305.861321475014;-43.3915270427717;0;0;-1;-1;-1
1;33;310.118656340491;-41.1925126522652;0;0;-1;-1;-1
1;34;312.10132106989;-40.1728517898088;0;0;-1;-1;-1
1;35;318.643206186818;-36.8084052099196;0;0;-1;-1;-1
1;36;325.069112591041;-33.5208756536041;0;0;-1;-1;-1
1;37;331.331088883696;-30.3373022554363;0;0;-1;-1;-1
1;38;337.849749999752;-27.0199865959297;0;0;-1;-1;-1
1;39;345.3191593207;-23.0768212623526;0;0;-1;-1;-1
1;40;350.569279611261;-19.4399179530679;0;0;-1;-1;-1
1;41;355.099683744944;-15.6032779017559;0;0;-1;-1;-1
1;42;357.814310868316;-12.042240752653;0;0;-1;-1;-1
1;43;361.200091215274;-5.50011919115585;0;0;-1;-1;-1
1;44;363.044424635922;0.577761179557071;0;0;-1;-1;-1
1;45;364.160811923547;7.53251553426094;0;0;-1;-1;-1
1;46;364.010718094596;14.5653926119;0;0;-1;-1;-1
1;47;362.691337412661;21.5785278038538;0;0;-1;-1;-1
1;48;360.252298675053;28.3477442691549;0;0;-1;-1;-1
1;49;356.898568750349;34.0211476309417;0;0;-1;-1;-1
1;50;352.73488274235;38.5231486079106;0;0;-1;-1;-1
1;51;347.226584031802;43.1043385052086;0;0;-1;-1;-1
