x1;y1;x2;y2;speed
280.0;0.2;311.4;13.4;1.0
-159.2;174.8;-134.8027098;281.3340707;4.16
-159.8647077037;56.7746125736;-117.0;122.0;2.78
-131.824145;-21.3909023;-30.1558653155;24.0438027213;2.78
-118.3247332697;27.5387759324;-111.3815426442;34.5211468943;1.39
-76.8660546415;-5.99780657643;-62.929631685;11.2271911669;1.39
253.3021272;43.4711444;310.786923;84.098526;5.0
64.1232567231;-57.2799974913;75.3729249822;-45.201624388;3.33
121.548917302;-146.0970686333;124.6731345643;-134.8391133258;2.78
-216.212450869;-21.3251380912;-134.2234093314;42.2714921361;2.78
43.9780068599;-194.7559021459;56.6703145522;-176.2943636844;4.16
-160.3347098;281.3800707;-127.8347098;299.2800707;3.33
-264.980070588;-80.8001273131;-216.212450869;-4.5251380912;2.78
-190.2725260279;-178.0980485478;-152.4165260279;-142.6080485478;3.33
229.9021272;50.7711444;253.0741906232;75.0743909003;4.1667
182.8746294275;40.9027492715;192.9546294275;56.6227492715;4.1667
224.5369798846;-88.34970584;228.2133217494;-79.0363064492;4.1667
271.7863269381;-63.5330126846;276.3347460692;-51.662755103;4.1667
86.2420372;-53.1548756;118.0420372;-13.0548756;5.0
-250.4820440296;-118.3365176238;-241.9153621908;-107.1717474827;2.2
-204.9281453846;-6.3056892308;-171.3078734156;25.5835461504;2.78
-3.9077061422;-31.0041447879;3.2461400117;-18.3118370956;2.78
334.8807951471;37.5593780991;346.8334578689;50.8138159689;4.1667
-72.9553625882;255.1112296805;-22.1269602213;266.8272060118;2.222
61.2440132362;59.9012299013;78.9708430769;73.5515438462;4.1667
81.6820217084;90.7527143172;97.4748504675;114.1284112189;4.1667
5.6262489941;-38.2743407692;18.9329504675;-14.5557887811;2.78
21.9967504675;271.3442112189;32.7967504675;284.5442112189;4.1667
14.1269430294;-4.1934616296;26.0204341536;6.4574259443;2.22
-143.9277880296;48.8426163964;-137.5277880296;56.6426163964;1.39
-24.1558653155;-21.9561972787;-15.0789422386;1.1207257982;2.22
83.7100217084;93.2877143172;89.1180217084;103.0897143172;3.33
-25.9089211146;274.4741698615;-15.3789211146;282.2741698615;2.0
